id,userId,searchDate,networkCount,offenseType
edfb6138-acf9-4994-b7cf-5278b459c399,***,2026-08-14T04:05:16.826Z,3,Weapons Offense (Guns/Shots Fired)
3b052200-e247-4c5b-a6de-d3c183d63be5,***,2026-08-14T05:09:53.567Z,3,Weapons Offense (Guns/Shots Fired)
b7e09895-0300-478d-abe6-080fd16e1cd8,***,2026-08-14T06:44:24.076Z,149,Hit and Run/Car Accident
386a7edc-5c73-44c9-9092-e5affe52766e,***,2026-08-14T08:55:39.818Z,1,Hit and Run/Car Accident
b9db70a7-a54f-45e5-bcea-239e51d7eac2,***,2026-08-14T11:59:38.149Z,149,Motor Vehicle Theft/Stolen
09fa4830-1736-4ca0-9ab1-4b4358f91284,***,2026-08-14T12:05:42.922Z,149,Motor Vehicle Theft/Stolen
836fdd3f-1f9b-41df-9028-23777d0b0037,***,2026-08-14T12:08:29.340Z,149,Motor Vehicle Theft/Stolen
e346004a-9e1f-4142-bad8-4e0883ffd10f,***,2026-08-14T12:08:33.647Z,149,Motor Vehicle Theft/Stolen
1b4b53ae-230a-46a1-8ccb-dcab4ef7c51f,***,2026-08-14T13:45:25.690Z,149,Motor Vehicle Theft/Stolen
48afbdc5-b9a0-40d5-8973-5e39a4c15475,***,2026-08-14T13:45:33.272Z,149,Motor Vehicle Theft/Stolen
e0e64b76-f856-4059-891d-19186dc3c320,***,2026-08-14T15:06:07.136Z,149,Motor Vehicle Theft/Stolen
a50e2f8c-d0a7-4be2-919c-434a28d7f186,***,2026-08-14T15:54:27.917Z,149,Motor Vehicle Theft/Stolen
80aa9955-9aea-406a-863b-b17053ceb5d1,***,2026-08-14T16:18:14.521Z,3,Assault/Battery Offenses (Domestic)
f83190ff-4bb3-4488-9ba7-71fa0b8c8b7c,***,2026-08-14T16:22:13.543Z,149,Assault/Battery Offenses (Domestic)
e39bcebe-c1b4-44f2-9096-2637f3fd23e2,***,2026-08-14T16:23:26.676Z,812,Drugs/Narcotics
984c7191-8889-4c72-ba5c-870554dd911f,***,2026-08-14T16:51:47.079Z,3,Larceny/Theft Offenses
70e05d5a-29a1-4814-97a0-5f7732f5e2f5,***,2026-08-14T17:38:53.035Z,149,Motor Vehicle Theft/Stolen
069d81d9-d6e8-4f0c-8ee5-0aaeb16e794e,***,2026-08-14T18:05:09.324Z,149,Motor Vehicle Theft/Stolen
a2a32ac8-5984-4958-80fa-911e595abdf6,***,2026-08-14T18:41:28.785Z,149,Traffic Infraction
2d9383e0-d4d6-4d38-bdd9-2a2fff491c46,***,2026-08-14T19:11:24.166Z,149,Motor Vehicle Theft/Stolen
d222e32d-cf1d-4542-abdb-469035ad09b0,***,2026-08-14T19:39:26.470Z,3,Motor Vehicle Theft/Stolen
9159ce55-7730-4abd-a933-44003d8ac409,***,2026-08-14T20:12:44.919Z,149,Motor Vehicle Theft/Stolen
99926329-7a69-46b3-95ee-03afbdaa77a4,***,2026-08-14T20:13:09.465Z,149,Motor Vehicle Theft/Stolen
2a7fb812-dfb7-4c38-a3a7-a5f3d541a5f3,***,2026-08-14T20:56:15.126Z,149,Motor Vehicle Theft/Stolen
6b911390-a817-4e01-bb9a-e7d475962b3d,***,2026-08-14T21:02:33.434Z,3,Larceny/Theft Offenses
7ff7986b-5118-48ce-8e8f-394d5db3d31c,***,2026-08-14T21:04:33.663Z,3,Motor Vehicle Theft/Stolen
aa6634f1-e24a-451f-9852-258da9857471,***,2026-08-14T21:40:37.142Z,814,Motor Vehicle Theft/Stolen
86f9fde5-e59b-40df-b93c-099d45f1fefb,***,2026-08-14T21:41:58.405Z,2,
5474322c-bb32-443f-bd6b-712d5eeebac4,***,2026-08-15T01:06:48.887Z,6,Weapons Offense (Guns/Shots Fired)
b8dfed40-2339-434a-a4a5-ffb2d94f26e4,***,2026-08-15T01:44:08.145Z,6,Assault/Battery Offenses
ca92577c-9c88-48fc-8cce-9d3f24555516,***,2026-08-15T01:45:51.711Z,149,Assault/Battery Offenses
5d2af6cc-d4ac-4221-9963-7a5d4fab26a8,***,2026-08-15T01:47:49.694Z,149,Assault/Battery Offenses
8aac5cd6-1c02-4152-889d-52ef36122f0d,***,2026-08-15T06:36:31.064Z,6,Weapons Offense (Guns/Shots Fired)
c594a1d4-4e27-4cd9-815e-43d075cb2e67,***,2026-08-15T06:47:16.887Z,824,Assault/Battery Offenses
edd70d06-1fd1-47e5-b3d6-353dd2b65e4c,***,2026-08-15T06:50:59.173Z,3,Weapons Offense (Guns/Shots Fired)
8ce4ad18-eebd-49bb-bbff-f8898faabc0a,***,2026-08-15T08:13:34.920Z,1,Weapons Offense (Guns/Shots Fired)
408bbc61-8066-4a48-a762-32c512e0e4b9,***,2026-08-15T13:12:31.124Z,149,Motor Vehicle Theft/Stolen
96434d88-23fa-49b3-8b91-0baad74b8034,***,2026-08-15T13:16:52.083Z,149,Motor Vehicle Theft/Stolen
bf8a21c6-b2e7-42d0-a002-3fc863037cbb,***,2026-08-15T13:17:37.854Z,149,Motor Vehicle Theft/Stolen
5106b726-d6c5-4fa0-b4f2-332d18437bdc,***,2026-08-15T14:14:08.482Z,149,Burglary/Breaking & Entering
3788fc02-e506-424f-9779-d7684f3ff991,***,2026-08-15T14:28:54.774Z,814,Stolen Property Offenses
7178ecd9-0eb7-4c79-b7ac-6eb0dead8afd,***,2026-08-15T15:39:58.822Z,134,Motor Vehicle Theft/Stolen
ce9d5e00-3468-41a1-a509-6281c29959d0,***,2026-08-15T18:24:10.040Z,149,Financial Crime (Embezzlement/Fraud)
c39e452d-8618-4856-892e-2ea9e191b1f8,***,2026-08-15T19:52:28.859Z,3,Larceny/Theft Offenses
d73818c1-829b-4048-acff-c913a709e8bc,***,2026-08-15T20:01:02.987Z,3,Larceny/Theft Offenses
277e4b3a-166b-4c28-a112-aabd26c5bcd7,***,2026-08-15T20:55:55.285Z,149,Assault/Battery Offenses
d137218a-cce6-474e-9b10-ccbbb102037e,***,2026-08-15T21:01:13.053Z,134,Larceny/Theft Offenses
9902aa7a-43bc-4fd2-95fd-6b95d07e7446,***,2026-08-15T21:17:48.611Z,1,Larceny/Theft Offenses
846d64d8-57ef-46ac-be33-3b69376aff73,***,2026-08-15T21:23:56.828Z,814,Assault/Battery Offenses
8903b180-590f-4bc8-ba09-a17866ca345a,***,2026-08-15T21:29:45.547Z,149,Assault/Battery Offenses
dfa116dc-3c3b-4741-a3a2-1a1a34f9e9a2,***,2026-08-15T21:33:55.329Z,2,
e8b77eb2-67d9-4591-8b67-6ec4e3c20e59,***,2026-08-16T00:13:08.544Z,149,Hit and Run/Car Accident
8fd6e8c4-6e70-4a14-9f7a-61f3b3c38eca,***,2026-08-16T00:15:44.551Z,149,Weapons Offense (Guns/Shots Fired)
053c4c34-5cc3-4a49-8fb6-6cca855149a4,***,2026-08-16T00:17:56.677Z,824,Motor Vehicle Theft/Stolen
e1997b71-acdb-45ca-aa29-e55db68c4f0a,***,2026-08-16T00:19:34.557Z,149,Stolen Property Offenses
cf06cece-2ab4-4ac6-a0e4-9f57cf3136e5,***,2026-08-16T00:22:14.055Z,149,Motor Vehicle Theft/Stolen
2f52f4e4-53f7-48e6-b1eb-c858682ce6f9,***,2026-08-16T00:22:51.967Z,149,Obstructing the Police (Fleeing/Eluding)
9ea0fd3e-276b-4f5a-a9af-58672ac4c5d8,***,2026-08-16T00:23:15.936Z,3,Motor Vehicle Theft/Stolen
e36fb4d9-2535-40bc-a27a-6aa3797cae74,***,2026-08-16T00:24:02.068Z,2,
6073e387-5a95-4a54-b52d-02b3753ae7ee,***,2026-08-16T00:24:48.696Z,2,
299c9eeb-f753-46ab-ae36-fb0a52f96629,***,2026-08-16T00:25:34.923Z,149,Motor Vehicle Theft/Stolen
