id,userId,searchDate,networkCount,offenseType
c4703828-e593-476f-b317-01c75505b284,***,2026-08-14T02:50:36.771Z,1350,Robbery
66358541-4689-486f-b817-ae38da82bc04,***,2026-08-14T02:52:53.887Z,1433,Wanted Person (Arrest Warrant/Fugitive)
b94d6563-d2d9-4d55-ba1d-4bc0e02e63f7,***,2026-08-14T03:44:21.381Z,1433,Wanted Person (Arrest Warrant/Fugitive)
cbe7b788-69b4-408a-9de3-50089567ae75,***,2026-08-14T04:41:11.380Z,1350,Assault/Battery Offenses
ce933b1c-bcfc-4dee-9159-c5f0ee6ffb6c,***,2026-08-14T04:42:12.033Z,1433,Terrorism/Terroristic Threats
7303b3d4-a0c8-4b45-ad9d-edb1688fb324,***,2026-08-14T04:48:34.275Z,1433,Terrorism/Terroristic Threats
efb89b6c-6a1f-429c-a37b-5e728e7cf4e2,***,2026-08-14T04:49:11.337Z,1,Assault/Battery Offenses
c98173ec-7ceb-45c0-9965-ee16264ad9db,***,2026-08-14T12:45:07.461Z,1433,Obstructing the Police (Fleeing/Eluding)
f6b77cef-91b9-4b9b-8dc5-673e2ef3637f,***,2026-08-14T16:15:16.343Z,2,Destruction/Damage/Vandalism of Property
829efd08-bd40-40a0-abdc-11bb61deb4b8,***,2026-08-15T04:18:47.379Z,2,Hit and Run/Car Accident
69ac4291-4be2-4d83-810b-f9e38ed24ac1,***,2026-08-15T04:36:36.123Z,1349,Weapons Offense (Guns/Shots Fired)
66f28fb4-463a-4352-8dfc-60f8d97bfcf2,***,2026-08-15T05:04:46.216Z,1,Hit and Run/Car Accident
426a546d-8f45-4256-b794-c55f86bae043,***,2026-08-15T13:40:33.611Z,244,Motor Vehicle Theft/Stolen
a9fa65a6-c7c4-47f3-be82-f6271c64ef89,***,2026-08-15T16:44:54.429Z,244,Assault/Battery Offenses
152e001b-cd92-4c28-9592-75c4dce84a5a,***,2026-08-17T00:29:40.730Z,1431,Hit and Run/Car Accident
